Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,FCF,FCF FQ-1,FCF FQ-2,FCF FQ-3,FCF FQ-4,FCF FQ-5,FCF FQ-6,FCF FQ-7,FCF FQ-8,FCF FQ-9,FCF FQ-10,FCF FQ-11,FCF FQ-12
1969,"China Chunlai Education Group Co., Ltd.",Consumer Discretionary,Diversified Consumer Services,Consumer Services,649.7 M,2022,126.2 M,23.808 M,43.715 M,43.335 M,-16.477 M,-16.714 M,31.264 M,30.765 M,-24.704 M,-23.702 M,-9.178 M,-9.123 M,6.067 M
6862,Haidilao International Holding Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,14.663 B,2022,380.9 M,162.7 M,38.534 M,37.973 M,-86.202 M,-84.947 M,-128.5 M,-123.5 M,-104.1 M,-103.8 M,-352.009 K,-342.975 K,-21.511 M
1992,Fosun Tourism Group,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.538 B,2022,140.1 M,65.146 M,8.846 M,8.717 M,65.624 M,64.669 M,-129.4 M,-124.4 M,-88.486 M,-88.273 M,50.45 M,49.156 M,66.812 M
1741,Ri Ying Holdings Limited,Industrials,Construction & Engineering,Capital Goods,136.6 M,2022,-6.217 M,-1.36 M,-1.752 M,-1.76 M,-642.155 K,-643.842 K,-1.141 M,-1.144 M,340.321 K,340.3 K,-2.358 M,-2.346 M,239.037 K
1809,Prinx Chengshan Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,428.9 M,2022,-66.336 M,-29.957 M,-5.08 M,-5.006 M,-72.005 M,-70.956 M,3.581 M,3.442 M,-44.092 M,-43.986 M,-14.65 M,-14.274 M,-35.697 M
1995,CIFI Ever Sunshine Services Group Limited,Real Estate,Real Estate Management & Development,Real Estate,655.1 M,2022,78.915 M,9.544 M,32.078 M,31.612 M,30.405 M,29.963 M,33.897 M,32.587 M,16.65 M,16.61 M,26.03 M,25.362 M,8.371 M
1034,Fullwealth International Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,201.8 M,2022,16.788 M,6.851 M,1.565 M,1.567 M,2.833 M,2.83 M,1.144 M,1.145 M,-654.988 K,-654.808 K,-1.163 M,-1.156 M,-328.489 K
2013,Weimob Inc.,Information Technology,Software,Software & Services,2.025 B,2022,-103 M,-38.765 M,-15.622 M,-15.395 M,-40.5 M,0 K,6.48 M,6.23 M,-10.377 M,-10.352 M,-3.234 M,-3.151 M,-30.42 M
2660,Zengame Technology Holding Limited,Communication Services,Entertainment,Media,433.4 M,2022,77.982 M,12.079 M,29.058 M,28.635 M,10.237 M,10.088 M,8.229 M,7.911 M,10.337 M,10.312 M,1.885 M,1.836 M,7 M
3798,Homeland Interactive Technology Ltd.,Communication Services,Entertainment,Media,315.9 M,2022,35.479 M,5.882 M,12.834 M,12.648 M,17.362 M,0 K,15.849 M,15.237 M,13.217 M,13.185 M,9.164 M,8.929 M,9.277 M
