Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Revenue,Revenue FQ-1,Revenue FQ-2,Revenue FQ-3,Revenue FQ-4,Revenue FQ-5,Revenue FQ-6,Revenue FQ-7,Revenue FQ-8,Revenue FQ-9,Revenue FQ-10,Revenue FQ-11,Revenue FQ-12
1817,Mulsanne Group Holding Limited,Consumer Discretionary,Specialty Retail,Retailing,303.8 M,2022,379 M,82.692 M,117.3 M,115.6 M,93.264 M,91.906 M,135.9 M,130.6 M,76.961 M,76.776 M,146.2 M,142.4 M,122.8 M
1983,"Luzhou Bank Co., Ltd.",Financials,Banks,Banks,875.9 M,2022,384.1 M,102.8 M,127.8 M,89.44 M,88.139 M,101.2 M,99.761 M,67.771 M,65.153 M,64.65 M,80.942 M,56.773 M,55.316 M
1748,Xin Yuan Enterprises Group Limited,Industrials,Marine,Transportation,144.1 M,2022,60.783 M,16.616 M,13.775 M,13.775 M,12.39 M,12.39 M,13.183 M,13.183 M,14.803 M,14.803 M,12.585 M,12.585 M,12.29 M
1741,Ri Ying Holdings Limited,Industrials,Construction & Engineering,Capital Goods,136.6 M,2022,14.053 M,1.349 M,5.69 M,5.716 M,9.346 M,9.37 M,4.989 M,5.003 M,9.418 M,9.418 M,10.185 M,10.133 M,10.359 M
2798,Perennial Energy Holdings Limited,Materials,Metals & Mining,Materials,236.4 M,2022,258.7 M,61.783 M,67.528 M,71.358 M,67.451 M,66.47 M,52.973 M,52.201 M,59.14 M,56.855 M,44.618 M,44.511 M,30.639 M
1860,Mobvista Inc.,Communication Services,Media,Media,804.4 M,2022,903.5 M,227.9 M,223.8 M,223.8 M,153.9 M,153.9 M,124.6 M,124.6 M,133.5 M,133.5 M,137.6 M,137.6 M,112.5 M
3399,Guangdong Yueyun Transportation Company Limited,Industrials,Air Freight & Logistics,Transportation,106 M,2022,843.8 M,204.1 M,217.5 M,229.9 M,250 M,246.4 M,239.5 M,236 M,228.5 M,219.7 M,184.1 M,183.7 M,242.3 M
720,Auto Italia Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,120.7 M,2022,3.833 M,929.368 K,995.375 K,996.887 K,590.392 K,589.665 K,130.216 K,130.258 K,194.89 K,194.836 K,5.918 M,5.884 M,8.943 M
3869,Hospital Corporation of China Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,135.6 M,2022,127.5 M,42.655 M,24.63 M,24.271 M,16.048 M,15.814 M,16.739 M,16.092 M,12.786 M,12.755 M,14.531 M,14.158 M,15.184 M
8279,AGTech Holdings Limited,Information Technology,IT Services,Software & Services,364.3 M,2022,45.021 M,14.565 M,12.488 M,4.503 M,13.894 M,8.604 M,7.368 M,2.666 M,7.168 M,8.025 M,3.895 M,1.767 M,7.316 M
528,Kingdom Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,113.9 M,2022,298.5 M,75.471 M,82.059 M,80.865 M,58.596 M,57.743 M,48.493 M,46.62 M,30.027 M,29.955 M,55.178 M,53.762 M,53.24 M
1224,C C Land Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,845.7 M,2022,63.848 M,14.888 M,16.863 M,16.892 M,19.532 M,19.562 M,22.119 M,22.092 M,20.082 M,20.089 M,17.898 M,17.893 M,18.327 M
2377,"China Boqi Environmental (Holding) Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,120.4 M,2022,275.5 M,82.869 M,53.81 M,56.861 M,91.685 M,90.352 M,71.77 M,70.725 M,75.672 M,72.749 M,46.578 M,46.466 M,77.84 M
982,Huafa Property Services Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,189.7 M,2022,226.3 M,57.069 M,56.544 M,56.63 M,42.883 M,42.83 M,38.931 M,38.944 M,31.147 M,31.138 M,24.287 M,24.147 M,36.73 M
3939,Wanguo International Mining Group Limited,Materials,Metals & Mining,Materials,208.9 M,2022,98.799 M,24.662 M,24.663 M,26.061 M,93.752 M,92.388 M,63.714 M,62.786 M,91.291 M,87.764 M,14.315 M,14.281 M,13.805 M
1708,Nanjing Sample Technology Company Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,423.8 M,2022,129.8 M,41.926 M,26.603 M,26.216 M,44.593 M,43.944 M,49.595 M,47.679 M,21.121 M,21.07 M,48.125 M,46.89 M,59.487 M
560,Chu Kong Shipping Enterprises (Group) Company Limited,Industrials,Marine,Transportation,138.5 M,2022,371.5 M,82.701 M,102 M,102.2 M,72.193 M,72.303 M,73.586 M,73.495 M,63.325 M,63.345 M,56.299 M,56.283 M,67.963 M
97,Henderson Investment Limited,Consumer Discretionary,Multiline Retail,Retailing,108.7 M,2022,228.8 M,54.652 M,59.132 M,59.234 M,56.114 M,56.2 M,57.635 M,57.564 M,61.206 M,61.226 M,56.77 M,56.755 M,50.113 M
127,Chinese Estates Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,602.7 M,2022,189.7 M,16.278 M,78.045 M,78.18 M,28.34 M,28.384 M,48.377 M,48.317 M,68.225 M,68.246 M,125.5 M,125.5 M,74.082 M
1543,"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.",Financials,Consumer Finance,Diversified Financials,355.9 M,2022,48.123 M,13.079 M,12.319 M,12.14 M,13.088 M,12.897 M,11.706 M,11.253 M,11.759 M,11.731 M,13.515 M,13.168 M,12.879 M
1548,Genscript Biotech Corporation,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",4.982 B,2022,586.2 M,152.3 M,140.7 M,140.7 M,114.8 M,114.8 M,112.2 M,112.2 M,83.197 M,83.197 M,75.738 M,75.738 M,60.939 M
78,Regal Hotels International Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,360.7 M,2022,216.1 M,73.603 M,34.791 M,34.844 M,30.537 M,30.499 M,8.604 M,8.606 M,19.902 M,19.896 M,70.518 M,70.11 M,77.783 M
