Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,56.103 M,8.674 M,20.921 M,20.616 M,26.076 M,25.697 M,32.416 M,31.164 M,41.252 M,41.153 M,39.426 M,38.414 M,49.768 M
857,PetroChina Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,127.8 B,2022,62.042 B,16.311 B,17.549 B,15.968 B,14.212 B,11.689 B,15.652 B,1.414 B,18.474 B,7.043 B,8.13 B,10.697 B,11.365 B
607,Fullshare Holdings Limited,Industrials,Electrical Equipment,Capital Goods,378.3 M,2022,463.5 M,138.1 M,91.601 M,90.269 M,49.509 M,48.789 M,7.325 M,7.042 M,48.251 M,48.135 M,52.988 M,51.628 M,32.639 M
588,Beijing North Star Company Limited,Real Estate,Real Estate Management & Development,Real Estate,764.7 M,2022,-46.532 M,-5.769 M,-33.283 M,37.508 M,-,114.9 M,53.883 M,95.456 M,102.9 M,43.503 M,-2.066 M,70.047 M,99.176 M
408,Yip's Chemical Holdings Limited,Materials,Chemicals,Materials,273.7 M,2022,19.498 M,-,23.146 M,23.186 M,26.999 M,27.04 M,34.707 M,34.664 M,33.413 M,33.423 M,18.789 M,18.784 M,20.434 M
950,Lee's Pharmaceutical Holdings Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",111.8 M,2022,-258 M,7.526 M,8.023 M,-284.4 M,4.926 M,-54.385 M,9.476 M,6.352 M,5.009 M,11.81 M,8.719 M,18.387 M,7.343 M
551,Yue Yuen Industrial (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,2.264 B,2022,676.8 M,193.6 M,151.3 M,179.4 M,70.552 M,-55.678 M,189.2 M,201.9 M,192.9 M,30.412 M,96.19 M,31.718 M,211.9 M
898,Multifield International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,105.4 M,2022,12.964 M,7.278 M,-788.553 K,-789.751 K,8.881 M,8.87 M,9.912 M,9.915 M,-10.734 M,-10.731 M,4.403 M,4.377 M,9.98 M
603,China Oil And Gas Group Limited,Utilities,Gas Utilities,Utilities,165.3 M,2022,229.6 M,65.985 M,83.344 M,117.6 M,92.189 M,92.076 M,40.431 M,23.341 M,54.03 M,54.015 M,48.194 M,45.917 M,53.775 M
517,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,473.8 M,2022,33.934 M,7.473 M,9.569 M,9.583 M,9.235 M,9.224 M,4.589 M,4.59 M,4.941 M,4.94 M,3.247 M,3.228 M,5.531 M
