Date,Index
Jun-94,3.083249
May-94,3.023266
Apr-94,2.928112
Mar-94,2.835952
Feb-94,2.778686
Jan-94,2.720741
Dec-93,2.6642
Nov-93,2.605726
Oct-93,2.523816
Sep-93,2.44537
Aug-93,2.391276
Jul-93,2.38158
Jun-93,2.376665
May-93,2.330029
Apr-93,2.291844
Mar-93,2.256151
Feb-93,2.211827
