Date,Index
May-98,34.57335
Apr-98,34.37244
Mar-98,34.15741
Feb-98,33.94654
Jan-98,33.67506
Dec-97,33.48162
Nov-97,33.33135
Oct-97,33.14455
Sep-97,32.98515
Aug-97,32.85481
Jul-97,32.57669
Jun-97,32.42808
May-97,32.2886
Apr-97,32.18732
Mar-97,32.05614
Feb-97,31.93244
Jan-97,31.83531
Dec-96,31.70247
Nov-96,31.50737
Oct-96,31.32224
Sep-96,31.16118
Aug-96,31.08314
Jul-96,31.02585
Jun-96,30.90464
May-96,30.79754
Apr-96,30.69875
Mar-96,30.60909
Feb-96,30.4007
Jan-96,30.2853
Dec-95,30.13254
Nov-95,30.05284
Oct-95,29.99888
Sep-95,29.90507
Aug-95,29.79631
Jul-95,29.61698
Jun-95,29.46339
May-95,29.25833
Apr-95,29.05078
Mar-95,28.98353
Feb-95,28.97357
Jan-95,28.99432
Dec-94,28.94451
Nov-94,28.95115
Oct-94,28.92708
Sep-94,28.94202
Aug-94,28.9387
Jul-94,28.95945
Jun-94,28.88723
May-94,28.98104
Apr-94,28.90217
Mar-94,28.89221
Feb-94,28.85568
Jan-94,28.84904
Dec-93,28.84571
Nov-93,28.80919
Oct-93,28.69794
Sep-93,28.66058
Aug-93,28.60661
Jul-93,28.5759
Jun-93,28.57922
May-93,28.53356
Apr-93,28.32102
Mar-93,28.32434
Feb-93,28.34759
